id,Title,Content,"Image URL","Image Filename","Image Path","Image ID","Image Title","Image Caption","Image Description","Image Alt Text","Image Featured","Attachment URL","Attachment Filename","Attachment Path","Attachment ID","Attachment Title","Attachment Caption","Attachment Description","Attachment Alt Text",Date,"Post Type",Permalink,artists
1827,"THE BEST SOUNDTRACKS OF 2013 by MOJO staff, United Kingdom","<div class=""et_pb_column et_pb_column_1_3 et_pb_column_1""></div>
<div class=""et_pb_column et_pb_column_2_3 et_pb_column_2"">
<div class=""et_pb_text et_pb_module et_pb_bg_layout_light et_pb_text_align_left et_pb_text_0"">
<div class=""description"">From electro-psychedelic overload to tightly wound sex-club funk and existential Gallic jazz, we salute the top 10 soundtracks of the year. #4 UTOPIA OST – Cristobal Tapia de Veer Dennis Kelly’s apocalyptic conspiracy thriller was one of the TV highlights of early 2013 but if Kelly’s visceral mix of suspense, sex, horror and dark comedy unsettled as many as it beguiled, the eclectic score from Chilean composer Cristobal Tapia de Veer was a unanimous success, a rule-breaking collage of beats, drones and world rhythms, with human bones as flutes and dried rhino turds as percussion. <a href=""https://www.mojo4music.com/10193/best-soundtracks-2013/"" target=""_blank"" rel=""noopener"">Read the article here</a></div>
</div>
</div>",https://freerunartists.com/wp-content/uploads/2015/12/49034b52a6d8ba74-ScreenShot2014-08-04at15127PM.png,49034b52a6d8ba74-ScreenShot2014-08-04at15127PM.png,/home/freeruna/public_html/wp-content/uploads/2015/12/49034b52a6d8ba74-ScreenShot2014-08-04at15127PM.png,260,49034b52a6d8ba74-ScreenShot2014-08-04at15127PM,,,,https://freerunartists.com/wp-content/uploads/2015/12/49034b52a6d8ba74-ScreenShot2014-08-04at15127PM.png,,,,,,,,,20170912,press,https://freerunartists.com/press/the-best-soundtracks-of-2013-by-mojo-staff-united-kingdom/,Cristo
1828,"UTOPIA 2 OST, 5/5*, album review by Rob Smedley, United Kingdom","“…No kidding, no messing, and no need to reach for the spoon in order to tell the truth: Cristobal Tapia de Veer’s score for Utopia 2 really is the best TV soundtrack of the year…” <a href=""https://www.cultbox.co.uk/reviews/soundtracks/utopia-season-2-soundtrack-album-review"" target=""_blank"" rel=""noopener"">Read the full article here</a>",https://freerunartists.com/wp-content/uploads/2017/09/f1bdf7d56e30efd1-ScreenShot2014-11-28at125003PM.png,f1bdf7d56e30efd1-ScreenShot2014-11-28at125003PM.png,/home/freeruna/public_html/wp-content/uploads/2017/09/f1bdf7d56e30efd1-ScreenShot2014-11-28at125003PM.png,1759,f1bdf7d56e30efd1-ScreenShot2014-11-28at125003PM,,,,https://freerunartists.com/wp-content/uploads/2017/09/f1bdf7d56e30efd1-ScreenShot2014-11-28at125003PM.png,,,,,,,,,20170912,press,https://freerunartists.com/press/utopia-2-ost-55-album-review-by-rob-smedley-united-kingdom/,Cristo
1829,"‘Humans’ doubles down on Synths, interview by Mike Ayers, U.S.","“…For “Humans,” the overarching goal is to make the music askew the stereotypical cold, sci-fi sounds usually associated with the genre… The music often creates an eerie ambiance for the human-to-human and human-to-synth interactions.Tapia de Veer’s compositions aim to tap into that aspect of the story. “I don’t really know what to call the sound of the score,” he admits. “I wanted [the] strangeness of being in that situation. It’s so radical and different from than how we feel, to have to deal with these machines. You have to feel a bit alien…” <a href=""https://blogs.wsj.com/speakeasy/2015/08/10/humans-tv-show-music/"" target=""_blank"" rel=""noopener"">Read the article here</a>",https://freerunartists.com/wp-content/uploads/2015/12/af16fd8a6ca8dba3-ScreenShot2015-08-12at91643AM.png,af16fd8a6ca8dba3-ScreenShot2015-08-12at91643AM.png,/home/freeruna/public_html/wp-content/uploads/2015/12/af16fd8a6ca8dba3-ScreenShot2015-08-12at91643AM.png,264,af16fd8a6ca8dba3-ScreenShot2015-08-12at91643AM,,,,https://freerunartists.com/wp-content/uploads/2015/12/af16fd8a6ca8dba3-ScreenShot2015-08-12at91643AM.png,,,,,,,,,20170912,press,https://freerunartists.com/press/humans-doubles-down-on-synths-interview-by-mike-ayers-u-s/,Cristo
1830,"Cristobal Tapia de Veer returns with soundtrack to AMC / C4’s Humans by AgentJ, United Kingdom","“In a companion piece of sorts to his excellent work on Utopia (across two vinyl albums if you can find them), Tapia de Veer returns with a heavily ‘synth’ laden score (that’s a pun if you know the show…) for AMC/C4 joint venture Humans…” <a href=""https://groovement.co.uk/2015/06/cristobal-tapia-de-veer-returns-with-soundtrack-to-amc-channel-4s-humans/"" target=""_blank"" rel=""noopener"">Read the article here</a>",https://freerunartists.com/wp-content/uploads/2015/12/0b62774d26f0fda9-ScreenShot2015-08-12at94413AM.png,0b62774d26f0fda9-ScreenShot2015-08-12at94413AM.png,/home/freeruna/public_html/wp-content/uploads/2015/12/0b62774d26f0fda9-ScreenShot2015-08-12at94413AM.png,265,0b62774d26f0fda9-ScreenShot2015-08-12at94413AM,,,,https://freerunartists.com/wp-content/uploads/2015/12/0b62774d26f0fda9-ScreenShot2015-08-12at94413AM.png,,,,,,,,,20170912,press,https://freerunartists.com/press/cristobal-tapia-de-veer-returns-with-soundtrack-to-amc-c4s-humans-by-agentj-united-kingdom/,Cristo
1835,"Utopia series 2, Dennis Kelly’s tortuous spine-chiller roars back in lethal form by Adam Sweeting, United Kingdom","“…The superb background music by Cristobal Tapia de Veer ranges from eerie childlike electronica to full-scale choral music that sounds as if it’s being sung by a choir being burned at the stake (somebody’s watching, below)…” <a href=""https://www.theartsdesk.com/tv/utopia-series-2-channel-4"">Read the article here</a>",https://freerunartists.com/wp-content/uploads/2015/12/c4ada71bc00d7dad-ScreenShot2014-08-04at22840PM-1.png,c4ada71bc00d7dad-ScreenShot2014-08-04at22840PM-1.png,/home/freeruna/public_html/wp-content/uploads/2015/12/c4ada71bc00d7dad-ScreenShot2014-08-04at22840PM-1.png,266,"c4ada71bc00d7dad-ScreenShot2014-08-04at22840PM (1)",,,,https://freerunartists.com/wp-content/uploads/2015/12/c4ada71bc00d7dad-ScreenShot2014-08-04at22840PM-1.png,,,,,,,,,20170912,press,https://freerunartists.com/press/utopia-series-2-dennis-kellys-tortuous-spine-chiller-roars-back-in-lethal-form-by-adam-sweeting-united-kingdom/,Cristo
1836,"5 reasons to start watching Utopia by Roxanne Sancto, United States","“…Score composer Christobal Tapia de Veer seems to have literally tapped into the minds and emotions of the Utopia cast. As a result of this musical genius, we are able to as well…” <a href=""https://www.pastemagazine.com/blogs/lists/2014/08/post-15.html"" target=""_blank"" rel=""noopener"">Read the article here</a>",https://freerunartists.com/wp-content/uploads/2015/12/ac62cdb9e6aefc5c-ScreenShot2014-09-29at95058AM.png,ac62cdb9e6aefc5c-ScreenShot2014-09-29at95058AM.png,/home/freeruna/public_html/wp-content/uploads/2015/12/ac62cdb9e6aefc5c-ScreenShot2014-09-29at95058AM.png,267,ac62cdb9e6aefc5c-ScreenShot2014-09-29at95058AM,,,,https://freerunartists.com/wp-content/uploads/2015/12/ac62cdb9e6aefc5c-ScreenShot2014-09-29at95058AM.png,,,,,,,,,20170912,press,https://freerunartists.com/press/5-reasons-to-start-watching-utopia-by-roxanne-sancto-united-states/,Cristo
1837,"Interview with Cristobal Tapia de Veer (in EN) by Montse Bru, Spain","“…The innovation, quality and creativity of his work are unquestionable and his musical compositions prompt and allow the viewer to discover hidden feelings and emotions of the narrative universe of television series. His career has been intense, and his musical propositions are risky and courageous, focussing on a constant quest for new eclectic sounds and new techniques…” <a href=""https://montsebrumedia.com/behind-the-scenes-4/theres-no-other-choice-than-freedom-for-me/#comment-548"" target=""_blank"" rel=""noopener"">Read the full article here</a>",https://freerunartists.com/wp-content/uploads/2015/12/eafb62c0d72b74c2-ScreenShot2015-11-11at103116AM.png,eafb62c0d72b74c2-ScreenShot2015-11-11at103116AM.png,/home/freeruna/public_html/wp-content/uploads/2015/12/eafb62c0d72b74c2-ScreenShot2015-11-11at103116AM.png,581,eafb62c0d72b74c2-ScreenShot2015-11-11at103116AM,,,,https://freerunartists.com/wp-content/uploads/2015/12/eafb62c0d72b74c2-ScreenShot2015-11-11at103116AM.png,,,,,,,,,20170912,press,https://freerunartists.com/press/interview-with-cristobal-tapia-de-veer-in-en-by-montse-bru-spain/,Cristo
1838,"UTOPIA 2 OST, 9/10*, album review by Nick Spacek, United Kingdom","“…While Utopia as a series may be finished, this compilation of de Veer’s music from the program is a more than wonderful send-off, and gives fans of the show a little more to dig into.” <a href=""https://www.starburstmagazine.com/reviews/audio-reviews/10428-utopia-series-2-cd"" target=""_blank"" rel=""noopener"">Read the full article here</a>",https://freerunartists.com/wp-content/uploads/2015/12/622f4a3c38e79bab-ScreenShot2014-12-04at121104PM.png,622f4a3c38e79bab-ScreenShot2014-12-04at121104PM.png,/home/freeruna/public_html/wp-content/uploads/2015/12/622f4a3c38e79bab-ScreenShot2014-12-04at121104PM.png,582,622f4a3c38e79bab-ScreenShot2014-12-04at121104PM,,,,https://freerunartists.com/wp-content/uploads/2015/12/622f4a3c38e79bab-ScreenShot2014-12-04at121104PM.png,,,,,,,,,20170912,press,https://freerunartists.com/press/utopia-2-ost-910-album-review-by-nick-spacek-united-kingdom/,Cristo
1839,"About the Utopia OST by Peter, United Kingdom","“…As you all know, arguably the most important British TV series has just started its second run and we have once again been introduced to Cristobal’s on-the-money sounds. I was curious if the signature theme and other noticeable compositions would survive for series two. Thankfully they have, but they have also far exceeded my expectations because of the very delicate re-workings Cristobal has incorporated. They sound much richer and fuller now, like there is a lot more emotion heard in them, when before they were quite sterile (which is a good thing). The way the score has mirrored the change in mood from first series to second series has been nothing short of superb…” <a href=""https://syncbubbleblog.com/post/92523624194/in-january-2013-my-close-friend-claude-gave-me-a"">Read the article here</a>",https://freerunartists.com/wp-content/uploads/2015/12/bcf67eda29002cc4-ScreenShot2014-08-04at24521PM.png,bcf67eda29002cc4-ScreenShot2014-08-04at24521PM.png,/home/freeruna/public_html/wp-content/uploads/2015/12/bcf67eda29002cc4-ScreenShot2014-08-04at24521PM.png,583,bcf67eda29002cc4-ScreenShot2014-08-04at24521PM,,,,https://freerunartists.com/wp-content/uploads/2015/12/bcf67eda29002cc4-ScreenShot2014-08-04at24521PM.png,,,,,,,,,20170912,press,https://freerunartists.com/press/about-the-utopia-ost-by-peter-united-kingdom/,Cristo
1840,"In Conversation With Cristobal Tapia de Veer, interview by Christian Murphy, Hyponik, United Kingdom","“…Centered around a conspiracy theory to sterilise the majority of the planet, the show was a triumph of clever casting, black humour, ultraviolence, spectacular cinematography, relentless pacing and an endlessly bizarre score. Save for the omnipresent hue of yellow in nearly every shot, the latter feature was perhaps Utopia’s calling card – something for which they’re indebted to Chilean born, Canadian based composer Cristobal Tapia de Veer. The classically trained de Veer – who has also composed for the decidedly different likes of BBC period drama Jamaica Inn and French series Seríé Noire, rightfully won a Royal Television Society Award last year for his work…” <a href=""https://hyponik.com/features/cristobal-tapia-de-veer/"" target=""_blank"" rel=""noopener"">Read the full article here</a>",https://freerunartists.com/wp-content/uploads/2015/12/0d618b86ac03b3fb-ScreenShot2014-12-16at10707PM.png,0d618b86ac03b3fb-ScreenShot2014-12-16at10707PM.png,/home/freeruna/public_html/wp-content/uploads/2015/12/0d618b86ac03b3fb-ScreenShot2014-12-16at10707PM.png,584,0d618b86ac03b3fb-ScreenShot2014-12-16at10707PM,,,,https://freerunartists.com/wp-content/uploads/2015/12/0d618b86ac03b3fb-ScreenShot2014-12-16at10707PM.png,,,,,,,,,20170912,press,https://freerunartists.com/press/in-conversation-with-cristobal-tapia-de-veer-interview-by-christian-murphy-hyponik-united-kingdom/,Cristo
1841,"Cristobal Tapia de Veer’s ‘Humans’ Soundtrack Set for Release by Brock Thiessen, CA","“…Following Cristobal Tapia de Veer’s mind-expanding work on the dearly departed Utopia, the adventurous film scorer will now see a soundtrack release behind his most recent project, the android-geared sci-fi series Humans…” <a href=""https://exclaim.ca/music/article/cristobal_tapia_de_veers_humans_soundtrack_set_for_release"" target=""_blank"" rel=""noopener"">Read the full article here</a>",https://freerunartists.com/wp-content/uploads/2015/12/b533f90f4cb87656-ScreenShot2015-11-11at104857AM.png,b533f90f4cb87656-ScreenShot2015-11-11at104857AM.png,/home/freeruna/public_html/wp-content/uploads/2015/12/b533f90f4cb87656-ScreenShot2015-11-11at104857AM.png,585,b533f90f4cb87656-ScreenShot2015-11-11at104857AM,,,,https://freerunartists.com/wp-content/uploads/2015/12/b533f90f4cb87656-ScreenShot2015-11-11at104857AM.png,,,,,,,,,20170912,press,https://freerunartists.com/press/cristobal-tapia-de-veers-humans-soundtrack-set-for-release-by-brock-thiessen-ca/,Cristo
1842,"Utopia OST – review and interview by Matt-Lloyd Jones, United Kingdom","“…To say that Tapia de Veer puts the ‘Original’ into Original Soundtrack is a cumbersome but necessary description of his work. (…) the time and effort that has gone into creating, recreating and mastering this highly ambitious score is more than evident. Fans’ patience has allowed Tapia de Veer the time to create an OST which is also an album of fantastic electronic music in itself and indeed, it would not be surprising to hear tracks from Utopia: OST onto dancefloors in the near future. That said, Tapia de Veer’s music is intimately connected with the storytelling of Utopia and re-watching the original ‘Coming Soon’ advert which drew me toward Utopia in the first place, Portishead’s ‘Chase of the Tear’ now seems like the soundtrack equivalent of an aged and ill-fitting cardigan. Tapia de Veer is a key creative force in Utopia’s genius, and as Series 2 approaches and looks to attract a wider audience, Channel 4 should look to harness his genius wisely…” <a href=""https://freerunartists.devmusos-guide-interview/"" target=""_blank"" rel=""noopener"">Read the article here</a>",https://freerunartists.com/wp-content/uploads/2017/09/3b503124d73bfcb6-ScreenShot2014-08-11at91619AM.png,3b503124d73bfcb6-ScreenShot2014-08-11at91619AM.png,/home/freeruna/public_html/wp-content/uploads/2017/09/3b503124d73bfcb6-ScreenShot2014-08-11at91619AM.png,1843,3b503124d73bfcb6-ScreenShot2014-08-11at91619AM,,,,https://freerunartists.com/wp-content/uploads/2017/09/3b503124d73bfcb6-ScreenShot2014-08-11at91619AM.png,,,,,,,,,20170912,press,https://freerunartists.com/press/utopia-ost-review-and-interview-by-matt-lloyd-jones-united-kingdom/,Cristo
